3833412,(0.05165066, -0.1093644, 0.9899008),7.080177,178.5583
3833432,(0.05943501, -0.1478152, 0.981775),7.543764,177.7714
3833452,(0.08740999, -0.158523, 0.9889448),7.817993,177.0777
3833472,(0.0986, -0.1181253, 1.0138),8.155613,176.5651
3833492,(0.1022489, -0.1697175, 0.9977876),8.681856,176.1446
3833512,(0.1166013, -0.1736112, 0.9942027),9.232085,175.7269
3833532,(0.1139254, -0.1692308, 0.9863158),9.761127,175.3805
3833552,(0.1431167, -0.199164, 1.004957),10.27101,174.9612
3833572,(0.1214665, -0.1726378, 1.024555),10.87534,174.6318
3833592,(0.1431167, -0.2203362, 0.9600266),11.50463,174.3482
3833612,(0.1676861, -0.2266635, 0.9844039),12.08772,173.9396
3833632,(0.1659832, -0.2174159, 0.9865549),12.56702,173.4288
3833652,(0.1844711, -0.227637, 0.9872719),13.10176,172.8666
3833672,(0.1674428, -0.2517295, 1.004718),13.63858,172.4198
3833692,(0.177903, -0.2570834, 0.979863),14.15985,172.075
3833712,(0.1924987, -0.2763088, 0.9540517),14.64295,171.6279
3833732,(0.2034454, -0.2848264, 0.9664794),15.02948,170.9572
3833752,(0.2041752, -0.2536764, 0.9729321),15.42949,170.276
3833772,(0.1990667, -0.2889635, 0.9631334),15.89643,169.6595
3833792,(0.2039319, -0.2612206, 0.9232214),16.31313,169.1079
3833812,(0.2250956, -0.3081889, 0.9456869),16.68089,168.5726
3833832,(0.2367722, -0.3038084, 0.9495108),17.01663,168.0075
3833852,(0.2572061, -0.2882334, 0.941385),17.40456,167.4477
3833872,(0.2703421, -0.3057553, 0.9225044),17.85544,166.8153
3833892,(0.2793428, -0.3186533, 0.9191586),18.31936,166.0721
3833912,(0.2766669, -0.3196268, 0.9105548),18.66261,165.3985
3833932,(0.28883, -0.3269275, 0.9222654),19.04101,164.7737
3833952,(0.2990469, -0.3064854, 0.9050579),19.50141,164.1358
3833972,(0.3092639, -0.3773029, 0.900756),19.94667,163.4482
3833992,(0.3206971, -0.3571041, 0.8904793),20.34956,162.6955
3834012,(0.3211837, -0.343476, 0.9076868),20.76467,161.9801
3834032,(0.3350495, -0.3668384, 0.8959762),21.21592,161.3174
3834052,(0.3438069, -0.3709755, 0.8725547),21.61327,160.7272
3834072,(0.3547537, -0.3549138, 0.8754227),22.05303,160.1084
3834092,(0.3705656, -0.4023689, 0.8661018),22.49643,159.3806
3834112,(0.3686195, -0.4113732, 0.8649069),22.9282,158.5402
3834132,(0.3788365, -0.4123466, 0.8809196),23.33101,157.8165
3834152,(0.3863776, -0.4252446, 0.8572591),23.70871,157.1677
3834172,(0.3834584, -0.4050458, 0.8534351),24.10003,156.5072
3834192,(0.4019463, -0.4488505, 0.8450705),24.40545,155.8488
3834212,(0.4158121, -0.4206208, 0.8371836),24.68402,155.2923
3834232,(0.4111902, -0.434979, 0.8333596),24.95072,154.8181
3834252,(0.418488, -0.4286517, 0.8259508),25.16543,154.4012
3834272,(0.4153256, -0.4245146, 0.8140012),25.40575,153.9851
3834292,(0.4386786, -0.4432532, 0.7920137),25.68023,153.6087
3834312,(0.4394084, -0.4415497, 0.8063534),25.9522,153.2635
3834332,(0.4350297, -0.4422798, 0.8092213),26.26776,153.0785
3834352,(0.4471928, -0.4439833, 0.8032464),26.49509,152.9931
3834372,(0.4318673, -0.4201341, 0.7855609),26.75417,152.911
3834392,(0.4420843, -0.4551778, 0.782215),27.01242,152.7883
3834412,(0.4347865, -0.447877, 0.7867558),27.33357,152.6579
3834432,(0.4513282, -0.4970356, 0.7855609),27.56093,152.5464
3834452,(0.4442737, -0.4559079, 0.7877119),27.78983,152.4981
3834472,(0.4430573, -0.4525009, 0.7877119),28.01595,152.4175
3834492,(0.4454899, -0.4821907, 0.7712212),28.23989,152.2629
3834512,(0.4435439, -0.4831641, 0.7855609),28.39744,152.1638
3834532,(0.4420843, -0.491925, 0.7614225),28.55783,152.0372
3834552,(0.4491388, -0.4943586, 0.7590325),28.71313,151.8584
3834572,(0.4498686, -0.4809739, 0.7662024),28.901,151.6424
3834592,(0.4537608, -0.5021461, 0.7564036),29.01006,151.4385
3834612,(0.4433006, -0.4814606, 0.7669194),29.11059,151.2839
3834632,(0.4457332, -0.4855977, 0.7714602),29.19443,151.1467
3834652,(0.4433006, -0.4763501, 0.7530577),29.33286,151.0007
3834672,(0.4501119, -0.5106637, 0.7611835),29.44835,150.9014
3834692,(0.4525445, -0.5036063, 0.7518628),29.5261,150.8631
3834712,(0.4583828, -0.4967923, 0.7477998),29.63138,150.7912
3834732,(0.4493821, -0.4899782, 0.7688313),29.71957,150.7396
3834752,(0.4552204, -0.5169911, 0.7487558),29.80857,150.7258
3834772,(0.4595991, -0.5330527, 0.7537747),29.83845,150.7285
3834792,(0.4566799, -0.4963055, 0.7468439),29.90598,150.7094
3834812,(0.4578963, -0.5057965, 0.7532967),30.00168,150.6562
3834832,(0.4644643, -0.4931418, 0.7583156),30.12063,150.6245
3834852,(0.4535175, -0.4953321, 0.7604665),30.20095,150.6314
3834872,(0.4488956, -0.472943, 0.7733722),30.27179,150.6499
3834892,(0.4564367, -0.5096903, 0.7528187),30.3123,150.6323
3834912,(0.4537608, -0.487788, 0.7669194),30.40999,150.5921
3834932,(0.4574098, -0.5045797, 0.7683534),30.46245,150.6228
3834952,(0.4542473, -0.4843809, 0.7494728),30.53211,150.644
3834972,(0.4634912, -0.5084735, 0.7607055),30.58659,150.66
3834992,(0.4661671, -0.5184512, 0.7356112),30.62975,150.6448
3835012,(0.4608154, -0.5274555, 0.7449319),30.6872,150.656
3835032,(0.4450034, -0.5242918, 0.7434979),30.71289,150.6896
3835052,(0.4435439, -0.5033629, 0.7494728),30.73951,150.6829
3835072,(0.4564367, -0.5308625, 0.744215),30.76544,150.5889
3835092,(0.4523013, -0.5199113, 0.7380011),30.79753,150.4868
3835112,(0.4574098, -0.5194247, 0.7282023),30.85558,150.3376
3835132,(0.4664104, -0.525752, 0.7384791),30.882,150.2088
3835152,(0.4525445, -0.4909516, 0.7487558),30.94511,150.1412
